id,english_text,human_bengali_reference
198,Since you're a doctor.,আপনি তো একজন ডাক্তার
199,A van carrying medicine was not spared.,ধানবোঝাই চারটি ট্রাকে আগুন।
200,Just before the surgery...,অপারেশনের ঠিক আগে...
201,Blood is a big expense.,রক্তের মূল্য অনেক বেশি.
202,Lawmakers say the new hospital police is based on hard science:,আইন প্রণয়নকারীরা বলছেন যে হসপিটালের এই পদক্ষেপ বিজ্ঞানের ভিত্তিতে নেয়া
203,"Cat's out of the bag, doctor.","ব্যাগ বিড়াল এর আউট, ডাক্তার."
204,My father was a doctor.,আমার বাবা ডাক্তার ছিলেন।
205,Will I go to the common people's government hospital?,)গিয়ে চিকিৎসা নেব আমি ?
206,Medical teams were sent by helicopter in cut-off areas and parts of Swat. The Pakistani blogosphere is abuzz with flood-related posts.,পাকিস্তানী ব্লগ জগৎ বন্যা সংক্রান্ত পোস্টে ভরে গেছে।
207,He was sent to the hospital with promise from Yunnan and Shenzhen government for the hospital fee.,তাকে ইউনান ও সেনজেন স্থানীয় সরকার হাসপাতালে পাঠায় এই প্রতিশ্রুতি দিয়ে যে তার সমস্ত খরচ তারাই বহন করবে।
208,"Doctor inside Arsal told me his hospital treated 400 wounded civilians, large number of refugees. — Kareem Shaheen (@kshaheen) August 8, 2014","আরসাল শহরের একজন ডাক্তার আমাকে বলেছেন, তাঁর হাসপাতালে ৪০০ জন আহত বেসামরিক নাগরিক চিকিৎসা নিয়েছেন। তাদের মধ্যে বিপুল সংখ্যক শরনার্থী রয়েছেন।"
209,"Get him to the doctor, now.",এখনি একে ডাক্তারের কাছে নিয়ে যাও
210,"Infographic about changes in bad health that mya be expected in South America, used with permission.","সম্ভবত যেমনটা আশা করা হয়েছিল, দক্ষিণ আমেরিকায় খারাপ স্বাস্থ্যের যে পরিবর্তন তার এক ইনফোগ্রাফিক্স, অনুমতিক্রমে প্রকাশ করা হয়েছে।"
211,..it will suck your blood dry.,..রক্ত চুষে নিবে।
212,I'm trying to convince you that your lack of human and emotional experience... is bad for you as a doctor...,আমি তোমাকে বিশ্বাস করানো চেষ্টা করছি যে তোমার মধ্যে মানবিক গুণ আর আবেগের কমতি যা... ... ডাক্তার হিসেবে তোমার জন্য খারাপ...
213,"And your Lord has decreed that you not worship except Him , and to parents , good treatment . Whether one or both of them reach old age [ while ] with you , say not to them [ so much as ] , "" uff , "" and do not repel them but speak to them a noble word .","তোমার পালনকর ্ তা আদেশ করেছেন যে , তাঁকে ছাড়া অন ্ য কারও এবাদত করো না এবং পিতা-মাতার সাথে সদ ্ ব-ব ্ যবহার কর । তাদের মধ ্ যে কেউ অথবা উভয়েই যদি তোমার জীবদ ্ দশায় বার ্ ধক ্ যে উপনীত হয় ; তবে তাদেরকে ‘ উহ ’ শব ্ দটিও বলো না এবং তাদেরকে ধমক দিও না এবং বল তাদেরকে শিষ ্ ঠাচারপূর ্ ণ কথা ।"
214,"And though, compared to two or so years ago, many people now are aware of HIV/AIDS - most simply don't understand the disease; and some people still consider it disgraceful and shameful for one to be afflicted by HIV/AIDS.","তারপরেও বেশিরভাগ লোকের এই রোগ সম্বন্ধে কোন ধারণা নেই; এবং অনেক লোক এখনো একে অসম্মানজনক ও লজ্জাজনক রোগ হিসেবে বিবেচনা করে, একই সাথে তাকেও একই রকম বিবেচনা করে যে এইচআইভি/এইডস রোগে আক্রান্ত হয়েছে।"
215,He will take care Be patient,"বস এসব দেখে নেবে, শান্ত হ"
216,School and hospital protests were organized in the past two days.,গত দু’দিনে বিদ্যালয় এবং হাসপাতালগুলোও প্রতিবাদ কর্মসূচীর আয়োজন করেছে।
217,That means that the patient has been diagnosed.,এটার মানে হল রোগীর রোগ নির্ণয় করা হয়েছে
218,And We will surely prove you with aught of fear and hunger and diminution in riches and lives and fruits ; and bear thou the glad tidings unto the patient ;,"এবং অবশ ্ যই আমি তোমাদিগকে পরীক ্ ষা করব কিছুটা ভয় , ক ্ ষুধা , মাল ও জানের ক ্ ষতি ও ফল-ফসল বিনষ ্ টের মাধ ্ যমে । তবে সুসংবাদ দাও সবরকারীদের ।"
219,"Reportedly, a total of 85 percent of the people in road accidents who die do so before they reach the hospital; many could have been saved with faster access to medical care.","কথিত আছে, সময় মতো হাসপাতালে পৌঁছতে না পারার কারণে সড়ক দুর্ঘটনায় আক্রান্তদের মধ্যে ৮৫ শতাংশ মারা যান।"
220,Being a doctor I know how ppl hesitate to talk about their health related issues for long time before actually consulting to a professional.,"আমি ডাক্তারি করতে গিয়ে দেখেছি, নারীরা ডাক্তারদের সাথে পরামর্শ করার আগে, দীর্ঘদিন ধরেই নিজেদের স্বাস্থ্য সমস্যার বিষয়টি চেপে রাখেন। এটা নিয়ে কথা বলতে সংকোচ বোধ করেন। আইডিয়াটা আমার ভালো লেগেছে।"
221,"Homosexuality is not an illness, according to the Serbian Medical Association's response to a request from Labris to check the official conclusion of the .",সার্বিয়ান চিকিৎসা-শাস্ত্র সমিতির মতে সমকামীতা কোন অসুস্থতা নয় । লেবরিস এর পক্ষ থেকে একটি অনুরোধ করা হয় যে বিশ্ব স্বাস্থ্য সংস্থা (হু) এর ঘোষণাটি পড়ে দেখতে এবং তা থেকে তারা এই মন্তব্য করেন।
222,"Singapore’s National Environment Agency issued this advisory on September 17, 2015, about the health impact of the haze:","সিঙ্গাপুরের জাতীয় পরিবেশ সংস্থা ১৭ সেপ্টেম্বর ২০১৫-এ এক জরুরী সভার আয়োজন করে, এই সভায় আলোচনার বিষয় ছিল গণস্বাস্থ্যের উপর ধোঁয়াশার প্রভাব:"
223,"This is because the U.S. Department of Health and Human Services (HHS) includes HIV as one of the ""communicable diseases of public health significance"" that bar people from entering the U.S. But last week the HHS issued proposed regulations that would remove HIV from this communicable diseases list.",এর কারন আমেরিকার স্বাস্থ্য ও মানব সেবা বিভাগ বা ইউএস ডিপার্টমেন্ট অফ হেলথ এন্ড হিউম্যান সার্ভিসেস-এর এক তালিকা(এইচএইচএস)। এই তালিকার মধ্যে রয়েছে এইচআইভি।
224,We need O positive blood. You are?,আমাদের ও পজেটিভ রক্ত লাগবে।
225,Medicine and Medical Supplies by Ahmed Naguib,ওষুধ এবং চিকিৎসা সামগ্রীর উপাদান সবরাহ করা।
226,"Ebossé was taken to a hospital in Tizi Ouzou, Kabylie (110 km east of Algiers), where he later died of the head injury.",ক্যাবাইলি শহরের তিজি ওজোউ এলাকাতে অবস্থিত একটি হাসপাতালে ইবোসকে নেয়া যাওয়া হয়েছিল।
227,You're bleeding. [Grunts] That's not his blood.,এটা তার রক্ত না
228,We will die sooner if we keep on thinking about this disease.,"তখন আমি এই রোগ সম্বন্ধে চিন্তা করতে শুরু করলাম। যদি আমরা আমাদের এই রোগ নিয়েই ভাবতে থাকি, তা হলে আমরা আরো তাড়াতাড়ি মারা যাব।"
229,And why the harsh treatment?,আর এমন কঠোর ব্যবহার কেন?
230,Sprinkle rice and salt on blood until it solidifies.,রক্তের উপরে ভাত আর লবন ছিটিয়ে দেন যতক্ষণ না রক্ত জমাট বাঁধে।
231,"So, I remember health problems more than their names.","তাই, আমি তাদের নাম মনে না রেখে তাদের কি রোগ আছে সেটা মনে রাখি।"
232,Do you imagine the meaning of the disease's ability to transfer between humans in a country like Egypt - where all citizens are centralized in less than 4 per cent of the country's area?..,তা সত্বেও তিনি সরকারের এই সিদ্ধান্তের বিরুদ্ধে। যত দ্রুত সম্ভব ওই সমস্ত নোংরা শুকর হত্যা করতে হবে।
233,- Dad is talking to the doctor.,- বাবা কথা বলছেন ডাক্তারের সাথে।
234,"The hospital has given the patient's family five months to repay BDT 1.5 million, giving a 25 percent discount.",হাসপাতাল কর্তৃপক্ষ বাকি ২০ লাখ টাকার মধ্যে ৫ লাখ মওকুফ করে ১৫ লাখ টাকা পরিশোধের জন্যে মৃতের পরিবারকে ৫ মাসের সময় দিয়েছে।
235,Everyone inside that hospital has committed treason.,ঐ হাসপাতালের প্রতিটি প্রত্যেকে এখন দেশদ্রোহের সাথে জড়িত
236,"Behold , thy Lord said to the angels : "" I will create a vicegerent on earth . "" They said : "" Wilt Thou place therein one who will make mischief therein and shed blood ? - whilst we do celebrate Thy praises and glorify Thy holy ( name ) ? ""","আর তোমার পালনকর ্ তা যখন ফেরেশতাদিগকে বললেনঃ আমি পৃথিবীতে একজন প ্ রতিনিধি বানাতে যাচ ্ ছি , তখন ফেরেশতাগণ বলল , তুমি কি পৃথিবীতে এমন কাউকে সৃষ ্ টি করবে যে দাঙ ্ গা-হাঙ ্ গামার সৃষ ্ টি করবে এবং রক ্ তপাত ঘটাবে ? অথচ আমরা নিয়ত তোমার গুণকীর ্ তন করছি এবং তোমার পবিত ্ র সত ্ তাকে স ্ মরণ করছি । তিনি বললেন , নিঃসন ্ দেহে আমি জানি , যা তোমরা জান না ।"
237,Get her a doctor.,ডাক্তারকে ডাকো.
238,"Sickle-cell disease receives its name from the abnormally shaped red blood cells, like a sickle in appearance, that get stuck in the blood vessels.","সিক্‌ল-সেল রোগ তার এই নামটি পেয়েছে লোহিত কণিকার অস্বাভাবিক আকৃতির কাছ থেকে, যেটিকে দেখতে একটি সিক্‌ল বা কাস্তের মতো মনে হয়, যেগুলো রক্ত নালীর ভিতরে আটকে যায়।"
239,"And truly , if We give him a taste of mercy from us , after some adversity ( severe poverty or disease , etc . ) has touched him , he is sure to say : "" This is for me ( due to my merit ) , I think not that the Hour will be established . But if I am brought back to my Lord , Surely , there will be for me the best ( wealth , etc . ) with Him .","বিপদাপদ স ্ পর ্ শ করার পর আমি যদি তাকে আমার অনুগ ্ রহ আস ্ বাদন করাই , তখন সে বলতে থাকে , এটা যে আমার যোগ ্ য প ্ রাপ ্ য ; আমি মনে করি না যে , কেয়ামত সংঘটিত হবে । আমি যদি আমার পালনকর ্ তার কাছে ফিরে যাই , তবে অবশ ্ যই তার কাছে আমার জন ্ য কল ্ যাণ রয়েছে । অতএব , আমি কাফেরদেরকে তাদের কর ্ ম সম ্ পর ্ কে অবশ ্ যই অবহিত করব এবং তাদেরকে অবশ ্ যই আস ্ বাদন করাব কঠিন শাস ্ তি ।"
240,"In his first statements, Vázquez, who was president from 2005-2010, expressed his desire to find common ground with the opposition parties regarding the most important issues: health, education, safety, and peaceful coexistence of citizens.","২০০৫ থেকে ২০১০ পর্যন্ত প্রেসিডেন্ট থাকা ভাজকেজ তার প্রথম বক্তব্যেই সব থেকে গুরুত্বপূর্ণ বিষয়: স্বাস্থ্য, শিক্ষা, নিরাপত্তা, এবং নাগরিকদের শান্তিপূর্ণ সহাবস্থানের উপর বিরোধী দলের সাথে মিলিতভাবে সবার জন্য গ্রহণযোগ্য একটি সমাধান খোঁজায় তার আকাঙ্খার কথা ব্যক্ত করেছে।"
241,It's attacking your cancer as fast as it can form.,তুমি ক্যান্সারে আক্রান্ত হয়েছিলে।
242,Hospital's past that curtain.,পর্দার ওপাশে চিকিৎসা সেবা দেয়া হয়
243,I saw in a report... they found traces of her blood in Paris.,আমি একটা রিপোর্টে দেখেছি ওরা নাকি প্যারিসে ওর রক্তের সন্ধান পেয়েছে
244,So because of the cold blood would they react to changes in temperatures?,ঠান্ডা রক্তের কারনে... তাদের শরীরের তাপমারায় কোন প্রতিক্রিয়া?
245,"After doing this, we see the average amount of years someone can expect to live in bad health: “Bad Health Years.”",এই কাজটি করার পর আমরা দেখব একজন গড়ে কত বছর “খারাপ স্বাস্থ্যের বছরগুলোয়” বেঁচে থাকার আশা করছে।
246,"Surely the Prophet has a greater claim over the believers than they have over each other , and his wives are their mothers . According to the Book of Allah , blood relatives have greater claim over each other than the rest of the believers and the Emigrants ( in the cause of Allah ) , except that you may do some good to your allies ( if you so wish ) .","নবী মুমিনদের নিকট তাদের নিজেদের অপেক ্ ষা অধিক ঘনিষ ্ ঠ এবং তাঁর স ্ ত ্ রীগণ তাদের মাতা । আল ্ লাহর বিধান অনুযায়ী মুমিন ও মুহাজিরগণের মধ ্ যে যারা আত ্ নীয় , তারা পরস ্ পরে অধিক ঘনিষ ্ ঠ । তবে তোমরা যদি তোমাদের বন ্ ধুদের প ্ রতি দয়া-দাক ্ ষিণ ্ য করতে চাও , করতে পার । এটা লওহে-মাহফুযে লিখিত আছে ।"
247,Do you remember how long you expect and this amount of blood you have shed.,তোমার কি মনে আছে কতদিন যাবৎ এই সুযোগের অপেক্ষায় ছিলে? এই মুহূর্তটার জন্য কত রক্ত ঝরিয়েছ?
248,The lab technician now known as Patient Zero... was accidentally exposed to retrovirus ALZ-1 13.... an Alzheimer's trial drug that was being tested on chimpanzees.,ল্যাব কর্মী এখন রোগীর জিরো হিসাবে পরিচিত... ঘটনাক্রমে উন্মুক্ত ছিলো রেট্রোভাইরাস এ/এল/জেড-১১৩... .
249,"Since this is a car for the common man, there is every possibility that the customers could be given a raw treatment at the dealership touch- points.",যেহেতু এই গাড়ী সাধারন মানুষের জন্যে তাদের হয়ত ডিলারদের কাউন্টারগুলোতে কিছু দুর্ব্যবহার সইতে হবে।
250,to help others with the same disease and to educate other people about the effects of the new ticking time bomb which we call HIV/ AIDS.,"অন্যদের সাহায্য করা, যারা তার মত একই রোগে আক্রান্ত এবং অন্য লোকদের শিক্ষিত করা এই নতুন টাইম বোম, যা টিকটিক করছে তার প্রভাব সম্বন্ধে। এই বোমের নাম এইচআইভি/এইডস।"
251,- Find a hospital. Find a hospital. - I'm working on it.,"- হাসপাতাল খোঁজো, হাসপাতাল খোঁজো"
252,I'm not the only half-blood who thinks so.,আমিই একমাত্র হাফ-ব্লাড(অর্ধ-রক্ত) না যে এরকম চিন্তা করে।
253,"This guy is methodical, exacting, and worst of all, patient.","বুঝতেই পারছো, খুনীটি যথেষ্টই সুশৃঙ্খল, নিখুঁত এবং সর্বশ্রেষ্ঠ শয়তান।"
254,Not my diagnosis.,আমার মনে হয় লাগবে.
255,"Men happy they getting sent home but what's going on in the Beetham is a serious health hazard. #thefog #thesmog — Jesé (@JesseJoseph2) January 30, 2014","লোকেরা বাড়ি যেতে পেরে বেশ খুশী। তবে বেথামে যা ঘটছে, তাতে মারাত্মক স্বাস্থ্য বিপর্যয় হতে যাচ্ছে।"
256,But I stand with the blood of my people.,কিন্তু আমি আমার লোকজনের রক্তের উপর দাড়িয়ে আছি
257,Health problems are also being seen in community members.,স্থানীয়রা তাদের এইসব জমি খনি কোম্পানীর কাছে বিক্রি করেছিল।
258,The blood that runs through these veins runs within the Dark Lord.,তোমার শরীরের রক্ত এখন তার শরীরেও আছে.
259,I've heard tell of the wonders of Elvish medicine.,"দেখলে, এলভিশ ভেষজের কী মহীমা!"
260,It was wrong to turn them away as they were in need of food and medical help.,"যেহেতু তাদের খাবার এবং চিকিৎসা সেবা প্রয়োজন, সেই কারণে তাদের ফিরিয়ে দেওয়ার সিদ্ধান্তটি ছিল ভুল।"
261,The patient is dead.,রোগী মারা গেছে।
262,"Oh, Doctor, you think of the most wonderful descriptions.","ওহ, ডাক্তার, বিরাট কাহিনী সাজায়তাছো"
263,"That poor boy was brutalized and the doctor acted like a savage, too.",বেচারা ছেলেটাকে অমানুষিক ব্যবহার সহ্য করতে হয়েছে আর ডাক্তারও জংলীর মতো আচরন করেছে।
264,This man has to be on a plane for America. He has to see a doctor.,এই লোকটাকে অ্যামেরিকার উদ্দেশ্যে প্লেনে নিতে হবে
265,"Except those who are patient and do good , they shall have forgiveness and a great reward .","তারা ছাড়া যারা ধৈর ্ যধারণ করে ও সৎকর ্ ম করে , এরাই -- এদের জন ্ য রয়েছে পরিত ্ রাণ ও মহাপুরস ্ কার ।"
266,"If he ( the victim ) be of a people hostile unto you , and he is a believer , then ( the penance is ) to set free a believing slave . And if he cometh of a folk between whom and you there is a covenant , then the blood-money must be paid unto his folk and ( also ) a believing slave must be set free .","আর যে কেউ ইচ ্ ছাকৃতভাবে একজন মূমিনকে হত ্ যা করে , তার তবে পরিণতি হচ ্ ছে জাহান ্ নাম , তাতে সে থাকবে দীর ্ ঘকাল , আর তার উপরে আসবে আল ্ লাহ ্ ‌ র গযব ও তাঁর লানৎ ।"
267,Many worry about his deteriorating health condition because Hossein previously suffered from kidney and mouth problems and is in a lot of pain.,"তাঁর ক্রমশ ভেঙে পড়া স্বাস্থ্য অবস্থা সম্পর্কে অনেক চিন্তাগ্রস্থ। কারণ, হুসেইন ইতোপূর্বে কিডনি ও মুখের সমস্যায় এবং অনেক ব্যথায় ভুগেছেন।"
268,The doctor stands casually at the door waiting for assistants to pull the person out.,রোগীর জন্য অপেক্ষা করতে থাকা সহকারীকে টান দিয়ে সরিয়ে নেন।
269,You are feeling too much Not good for your health,তুমি একটু বেশিই চিন্তা করছো যা তোমার স্বাস্থের জন্য ক্ষতিকর
270,"The contamination of drinking water and food sources, which leads to a slew of health risks.","খাবার পানি আর খাদ্যের সূত্রের দূষিত হয়, যার ফলে স্বাস্থ্যের ঝুঁকে বেড়ে যায়।"
271,So the Japanese shipping company sent two men to talk to me... in the Mexican hospital where I was recovering.,"তাই জাপানি জাহাজ কোম্পানীর দু'জন লোককে আমার সাথে কথা বলার জন্য... মেক্সিকান যে হাসপাতালে আমি স্বাস্থ্য ফিরিয়ে আনার চেষ্টা করছিলাম, সেখানে পাঠানো হল।"
272,Alabdullah says his team uncovered an injured woman who was rushed to a nearby hospital and survived.,"আল আবদুল্লাহ বলেন, তার দল এক আহত নারীকে ধ্বংসস্তুপ থেকে উদ্ধার করে, যাকে দ্রুত এক স্থানীয় হাসপাতালে নিয়ে যাওয়া হয় এবং এই তৎপরতায় তিনি বেঁচে যান।"
273,"Sir, if the infection route is doubled, the spread radius...","স্যার, এটি খুব দ্রুত ছড়িয়ে যাচ্ছে ..."
274,"The doctor replied, ""Ask yourself.",ডাক্তার আমাকে জিজ্ঞেস করলো.
275,Isn't this medicine?,এটা কি ঔষধ নয়?
276,The Cuban government's ability to organize the masses and oblige people to comply comes in handy when trying to prevent an outbreak of disease.,সাধারণ এবং বাধ্য জনগণকে মানিয়ে নেয়ার জন্য কিউবা সরকারের ক্ষমতা বেশ ফলপ্রশু হয় যখন কোন মহামারী রোগ প্রতিরোধের চেষ্টা করা হয়।
277,"Doctor, my wife is here too","ডক্টর, আমার স্ত্রীও এখানে আছে"
278,Nodding disease in its initial stages.,নোডিং রোগের প্রাথমিক অবস্থা।
279,Then the blood came ...,আর তারপরই রক্ত বেরুল ...
280,I'll go fetch the doctor.,আমি ডাক্তার আনতে যাবো।
281,Are we suffering from diabetes or blood pressure?,আমরা ডায়াবেটিস বা রক্তচাপ ভুগছেন?
282,Sherlock Holmes fell to his death from the top of London's Bart's Hospital.,{\cHECBE8F}শার্লক ঝাঁপ দিয়ে মৃত্যুবরণ করেছিলো... {\2cHECBE8F} {\cHECBE8F}লন্ডনের বার্ট'স হাসপাতাল এর ওপর থেকে।
283,"And it does not behoove a believer to kill a believer except by mistake , and whoever kills a believer by mistake , he should free a believing slave , and blood-money should be paid to his people unless they remit it as alms ; but if he be from a tribe hostile to you and he is a believer , the freeing of a believing slave ( suffices ) , and if he is from a tribe between whom and you there is a convenant , the blood-money should be paid to his people along with the freeing of a believing slave ; but he who cannot find ( a slave ) should fast for two months successively : a penance from Allah , and Allah is Knowing , Wise .","মুসলমানের কাজ নয় যে , মুসলমানকে হত ্ যা করে ; কিন ্ তু ভুলক ্ রমে । যে ব ্ যক ্ তি মুসলমানকে ভূলক ্ রমে হত ্ যা করে , সে একজন মুসলমান ক ্ রীতদাস মুক ্ ত করবে এবং রক ্ ত বিনিময় সমর ্ পন করবে তার স ্ বজনদেরকে ; কিন ্ তু যদি তারা ক ্ ষমা করে দেয় । অতঃপর যদি নিহত ব ্ যক ্ তি তোমাদের শত ্ রু সম ্ প ্ রদায়ের অন ্ তর ্ গত হয় , তবে মুসলমান ক ্ রীতদাস মুক ্ ত করবে এবং যদি সে তোমাদের সাথে চুক ্ তিবদ ্ ধ কোন সম ্ প ্ রদায়ের অন ্ তর ্ গত হয় , তবে রক ্ ত বিনিময় সমর ্ পণ করবে তার স ্ বজনদেরকে এবং একজন মুসলমান ক ্ রীতদাস মুক ্ ত করবে । অতঃপর যে ব ্ যক ্ তি না পায় , সে আল ্ লাহর কাছ থেকে গোনাহ মাফ করানোর জন ্ যে উপর ্ যুপুরি দুই মাস রোযা রাখবে । আল ্ লাহ , মহাজ ্ ঞানী , প ্ রজ ্ ঞাময় ।"
284,I'm a mental patient with a gun.,আমি একটি বন্দুক দিয়ে এক মানসিক রোগী নই।
285,"And those who accept Faith subsequently , and adopt exile , and fight for the Faith in your company , - they are of you . But kindred by blood have prior rights against each other in the Book of Allah .","আর যারা ঈমান এনেছে পরবর ্ তী পর ্ যায়ে এবং ঘর-বাড়ী ছেড়েছে এবং তোমাদের সাথে সম ্ মিলিত হয়ে জেহাদ করেছে , তারাও তোমাদেরই অন ্ তর ্ ভুক ্ ত । বস ্ তুতঃ যারা আত ্ নীয় , আল ্ লাহর বিধান মতে তারা পরস ্ পর বেশী হকদার । নিশ ্ চয়ই আল ্ লাহ যাবতীয় বিষয়ে সক ্ ষম ও অবগত ।"
286,Nah. I'm just gonna take a shower at the hospital.,না.হাসপাতালে গিয়েই গোসল করবো.
287,"( When he heard this ) , Jacob said , "" Your souls have tempted you to make up the whole story . Let us be patient for perhaps God will bring them all back to me .","তিনি বললেন -- ''না এ, বরং তোমাদের অন্তর তোমাদের জন্য ও বিষয়টি উদ্ভাবন করেছে, কিন্তু ধৈর্যধারণই উত্তম। হতে পারে আল্লাহ্ ওদের সবাইকে আমার কাছে এনে দেবেন। নিঃসন্দেহ তিনিই সর্বজ্ঞাতা, পরমজ্ঞানী।’’"
288,@deena_adel: #Egypt Blood donations needed.,@দিনা_আদেল: #মিশরের রক্তদাতা দরকার।
289,Doctor,ডাক্তার
290,"The life of Alicia Marcus was saved. The T-virus had a myriad of applications, treating 1,000 different diseases.",এলিসিয়া মার্কাসের জীবন বেঁচে গেল। হাজার রকম রোগের নিরাময়ে কাজে লাগে।
291,"Below are selected tweets @Mira_mp who witnessed events first-hand as a protester in the square, and eventually as a volunteer at a hospital to help the wounded.","ঘটনার দিন দিন স্বাধীনতা চত্ত্বরেই ছিলেন মিরা_এমপি (@Mira_mp)। সেখানে যেসব ঘটনা ঘটেছিল, তার প্রত্যক্ষদর্শী ছিলেন তিনি।"
292,"And they brought his shirt with false blood upon it . He said : Nay , your souls have made the matter light for you , but patience is good and Allah is He Whose help is sought for against what you describe .","এবং তারা তার জামায় কৃত ্ রিম রক ্ ত লাগিয়ে আনল । বললেনঃ এটা কখনই নয় ; বরং তোমাদের মন তোমাদেরকে একটা কথা সাজিয়ে দিয়েছে । সুতরাং এখন ছবর করাই শ ্ রেয় । তোমরা যা বর ্ ণনা করছ , সে বিষয়ে একমাত ্ র আল ্ লাহই আমার সাহায ্ য স ্ থল ।"
293,"- I'm afraid not, doctor.","- সে নেই, ডক্টর."
294,"No doctor it was not dining out side, it was due to eating from inside.","না ডাক্তার, ওরা বাইরে কোথাও খায়নি। ঘরেই খেয়েছে।"
295,"I worry that we work so hard, and finally all we earn goes toward medical expenses.",আমি খুবই চিন্তিত। আমরা সবাই কঠোর পরিশ্রম করছি। চিকিত্সাসেবার খরচ মেটানোর মতো টাকাও হয়তো রোজগার করছি।
296,The virus has infected Skynet.,স্কাইনেট ভাইরাস দ্বারা সংক্রমিত হয়েছে
297,Some people were immune to the virus.,কিছু লোককে ভাইরাস থেকে মুক্ত করা গেছে.
298,The post concludes with a mention of the ways the Ministry of Health is dealing with malaria prevention and treatment.,পোস্টটি শেষ করা হয়েছে স্বাস্থ্য মন্ত্রনালয়ের প্রজ্ঞাপন দিয়ে যাতে ম্যালেরিয়ার চিকিৎসা ও প্রতিরোধের উপায়গুলো বর্ণিত হয়েছে।
299,If you do not get the respect you deserve you will take it by shedding their blood.,"যদি তুমি সেই সম্মান না পাও যেটা তোমরা প্রাপ্য... ...তাহলে এটা কেড়ে নিতে হবে, তাদের খুনের বন্যা বানিয়ে."
300,If we can trust the medical report why can't we trust the medical science for the cure too?,যদি আমরা ডাক্তারি রিপোর্ট বিশ্বাস করি তাহলে কেন বিশ্বাস করিনা যে ডাক্তারি বিজ্ঞান এর চিকিৎসাও করতে পারবে?
301,Barriers to medical care that lesbians face can cause poorer mental and physical health.,স্বাস্থ্য সেবা পাওয়ার ক্ষেত্রে যে বাঁধা রয়েছে তার ফলে এখানকার মহিলা সমকামীরা বাজে মানসিক ও শারীরিক স্বাস্থ্যের শিকার হতে পারে।
302,"Below is a partial translation of a post (RUS) on health care in Russia - a caustic ""unsent letter"" to the Russian president, written by LJ user sobe-panek on Feb.",নিচের অংশটি রাশিয়ার স্বাস্থ্য সুরক্ষার উপর লেখা একটি পোষ্ট (রুশ ভাষায়) এর আংশিক অনুবাদ- যা রাশিয়ার রাষ্ট্রপতিকে লেখা একটি আক্রমনাত্মক “অপ্রেরিত পত্র”।
303,A bond forged out of love is as strong as a bond forged by blood.,ভালোবাসার বন্ধন রক্তের বন্ধনের চেয়েও বেশি শক্তিশালী।
304,We must go to a doctor.,. ডাক্তারের কাছে যেতে হবে
305,We are going to a hospital.,আমরা এখন হাসপাতালে যাচ্ছি।
306,More victims brought to the field hospital.,http://twitpic.
307,What the fuck you need a medical book for?,"ইনজেকশন দিতে মেডিকেল বুকের কি দরকার ? - আমাকে বলো কিভাবে ইনজেকশন দিতে হয়, আমি কখনো ইনজেকশন দিইনি !"
308,"On 28 November, in protest of ill-treatment she has received while in detention, she began a hunger strike.",২৮শে নভেম্বর শাস্তিভোগ করা অবস্থায় নির্যাতিত হবার প্রতিবাদে সে অনশন ধর্মধট শুরু করছে।
309,This is a disease Imaginoromansophilia!,"মা, আমার ইমাজিনেরোমেন্সোফলো রোগটা হয়েছে!"
310,-I'm going to the hospital...,- আমি হসপিটালে যাচ্ছি...
311,Is this kind of a virus or a bacterium?,এটা কি কোনো ভাইরাস অথবা ব্যাকটেরিয়া?
312,Cancer.,ক্যান্সার।
313,"Union members also lobby for safe work environments and for better medical care, especially for children whose jobs present a health risk.","এছাড়াও ইউনিয়নের সদস্যরা কাজের উন্নত পরিবেশ এবং চিকিৎসা সুবিধা, বিশেষ করে যে সমস্ত শিশু স্বাস্থ্যের জন্য ঝুকিপূর্ণ পরিবেশে বাস করে, তাদের চিকিৎসা সুবিধার জন্য তদবির করে যাচ্ছে।"
314,Obey Allah and His Messenger and do not dispute with one another lest you should lose courage and your resolve weaken . Have patience Allah is with those who are patient .,"আর আল ্ লাহ তা ’ আলার নির ্ দেশ মান ্ য কর এবং তাঁর রসূলের । তাছাড়া তোমরা পরস ্ পরে বিবাদে লিপ ্ ত হইও না । যদি তা কর , তবে তোমরা কাপুরুষ হয়ে পড়বে এবং তোমাদের প ্ রভাব চলে যাবে । আর তোমরা ধৈর ্ য ্ যধারণ কর । নিশ ্ চয়ই আল ্ লাহ তা 'আলা রয়েছেন ধৈর ্ য ্ যশীলদের সাথে ।"
315,A good friend brought Marium to the Aussi Bangla Smile team at the Jibon Tari floating Hospital which was then about two hours travel from the orphanage...,একজন সহৃদয়বান মানুষ এতিমখানা থেকে দু’ঘণ্টান যাত্রায় মরিয়মকে নিয়ে জীবনতরীতে অসি বাংলা স্মাইল টিমের কাছে আসে।
316,Now the medical mystery.,"এখন , চিকিৎসা বিদ্যার রহস্য হিসাবে."
317,I went to medical school with him.,সে আমার মেডিক্যাল স্কুলের ক্লাসমেট.
