id,english_text,human_bengali_reference,machine_bengali_output
79,"What is sad is that being such a core ally of the United States in the war against terror, our government has been able to achieve nothing in this regard, and the treatment a Pakistani citizen has received is just appalling.""","এখানে যে বিষয়টি বেদনাদায়ক যে সন্ত্রাসের বিরুদ্ধে লড়াইয়ে যুক্তরাষ্ট্রের অন্যতম এক সহযোগী হওয়া সত্ত্বেও এ ব্যাপারে আমাদের সরকার কোনকিছু করতে সমর্থ হয়নি এবং পাকিস্তানের এক নাগরিকের উপর এ রকম এক ঘটনায় তারা কেবল আবেদন জানিয়েছে""।","কিছু খারাপ যে, আমাদের সার্বিয়ান বিরোধিতা টের যুদ্ধে এমন একটি গুরুত্বপূর্ণ সহায় হওয়ায়, আমাদের সরকার এই দিকে কিছুই প্রভাবিত করতে পারেনি, এবং একজন পাকিস্তানি বিবাদার্থে পাকিস্তানি বিবাদার্থে পাকিস্তানি বিবাদার্থে চিকিৎসা যে পাওয়া যায়, তা অ"
80,"As protesters were preparing to rally on June 12, 2014, against the large amount of public money spent on the sporting event instead of on services like health and education, Brazil's military police launched an aggressive crackdown on the group.","অন্যদিকে স্বাস্থ্যসেবা, শিক্ষাখাতে বিনিয়োগে একেবারে লবডঙ্কা। আর এর প্রতিবাদ জানাতেই ১২ জুন, ২০১৪ প্রতিবাদ মিছিলের আয়োজন করেছিল বিক্ষোভকারীরা। কিন্তু ব্রাজিলের মিলিটারি পুলিশ বিক্ষোভকারীদের নৃশংসভাবে দমন করে।","2014 সালের 12ই জুন তারিখে, যখন প্রতিবাদকরা সার্বিস মেনে যুক্তি দিয়ে সার্বিস মেনে যুক্তি দিয়ে সার্বিস মেনে যুক্তি দিয়ে সার্বিস মেনে যুক্তি দিয়ে সার্বিস মেনে যুক্তি দিয়ে সার্বিস মেনে যুক্তি দিয়ে সার্বিস মেনে যুক্তি দিয়ে সার্বিস মেনে যু"
81,You can buy sick leave doctor online! (more from Shanghaiist),আপনারা অনলাইনে অসুস্থ হবার জন্যে ছুটি পাবার নিমিত্তে ডাক্তারের নির্দেশ কিনতে পারেন! (আরও জানাচ্ছে সাংহাইস্ট),"আপনি ইন্টারনেট থেকে বেঞ্চি ডাক্তার কিউট করতে পারেন! (শেনghানghাই ghাই ghাই থেকে)

Note: The phrase ""sick leave doctor"" is not a standard medical term and seems to be a typo or a colloquial phrase. If ""sick leave doctor"" refers to a doctor who provides medical advice for taking sick leave, a more accurate translation would be:

""আপনি ইন্টারনেট থেকে বেঞ্চি চিকিৎসক কিউট করতে পারেন!""

If ""sick leave doctor"" is meant to refer to a doctor who can provide medical certification for taking sick leave, a more appropriate translation would be:

""আপনি ইন্টারনেট থেকে বেঞ্চি চিকিৎসকের সাহ"
82,Young schoolgirls lie unconscious on the lawn of a hospital in the capital city of the northern Takhar province after being poisoned at their school.,স্কুলে বিষাক্রান্ত কিছু কিশোরী স্কুলছাত্রী উত্তরের তাকহার প্রদেশের রাজধানীর একটি হাসপাতাল প্রাঙ্গণে অচেতন অবস্থায় পড়ে আছে।,"তকহার প্রvincেসের উত্তরাংশের রাজধানীতে একটি হাসপাতালের গ্যান্ডে এক些内容无法显示，请上传有效的文本或检查是否使用了正确的格式化指令。根据您提供的信息，我将翻译内容补充完整：

Bengali: তকহার প্রvincেসের উত্তরাংশের রাজধানীতে একটি হাসপাতালের গ্যান্ডে এক কয়েক শিক্ষার্থী শূন্য অবস্থায় পড়ে আছেন, তারা শোoleতে বিষিত হয়েছিলেন।

请注意，这里的“গ্যান্ডে”是"
83,@samwaddah sarcastically added what some skeptics thought was a defection rather than a routine medical trip :,"@সামাহওয়াদ্দা বিদ্রুপের ছলে কিছু হতাশা ব্যক্ত করেছেন, তার ভাবনায় হাদির এই যাত্রা তার শারীরিক অবস্থা যাচাই-এর জন্য নয়, এটা আসলে পালিয়ে যাওয়া।","@সামওদ্ধার সর্ধরনীয়ভাবে যোগ করেন যে কিছু স্কেটিকস মনে করত এটি একটি অবিচ্ছেদ্য সোধানের পাশাপাশি একটি নির্দিষ্ট লক্ষণ / উপসর্গ (লক্ষণ) চিকিৎসার যাত্রা হিসাবে দেখতে যায়:
 
Note: I've translated ""routine medical trip"" as ""নির্দিষ্ট লক্ষণ / উপসর্গ (লক্ষণ) চিকিৎসার যাত্রা"" which means ""a routine medical visit"" to maintain the clinical context."
84,The salaries they give to medical residents there are way better than those they give to residents in the US.,ডাক্তারদের বেতন সেখানে যুক্তরাষ্ট্রের থেকে ভাল।,"তারা ত那里的医学住院医师得到的薪水要比美国的住院医师好得多。
为了符合提供的医疗词汇表中的标准，我们可以这样翻译：

তারা তারা那里
রোগী সংস্থায় অধ্যয�न করার জন্য দেয়া মেডিক্যাল রোগী সংস্থায় অধ্যযনকারীদের জন্য আয�salaries আয়
দেওয়া সামান্য নয়, তারা তারা并不适用，我们继续翻译。
比美国的
ইউ.এস. রোগী সংস্থায় অধ্যযনকারীদের জন্য দেওয়া আয় কেমন ক"
85,And blood of the enemy forcibly taken.,আর দুশমনের রক্ত... ...নেওয়া হল.,"আন্তরিক রক্ত নেওয়া হয়।

Note: The phrase ""And blood of the enemy forcibly taken"" is a bit ambiguous and might be better clarified in the context. However, based on the provided medical glossary, the translation is as above. If you need a more precise medical term or context, please provide additional details."
86,"Balancing profession and passion, Hisham has spent many years working to improve the lives and well-being of Moroccans, both as a civil society advocate and as a medical doctor.",পেশা ও আবেগের ভারসাম্য রেখে হিশাম একটি সুশীল সমাজের কর্মী হিসাবে এবং একজন চিকিৎসক হিসেবে মরক্কোবাসির জীবন মঙ্গলময় ও উন্নত করার জন্য অনেক বছর ধরে কাজ করেছেন।,"স্বাস্থ্য ও পারস্পরিক প্রিয়তার মধ্যে সার্থক সুলভন, হিশাম অনেক বছর ধরে মরoccanদের জীবন ও স্বাস্থ্যের মান বাড়াতে কাজ করেন, এই কাজে তিনি সামাজিক সমাজের অধিবাসী এবং ওষুধ বিজ্ঞানী দক্ষ দুই পদে অবস্থান করেন।"
87,"Her last name is known, this woman in a white gown, ""Doctor Death.""","সাদা গাউন পরা এই মহিলার নাম ছিল, “ডক্টর ডেথ”, তার নামের এই শেষ অংশটা কেবল জানা গেছে।","নিম্নলিখিত বাংলায় অনুবাদ করা হল:

নামের অंশটা জানা আছে, এই সাদা গোঁজায় পৌঁছা এক মহিলাকে ""ডাক্তার ডেথ"" বলে。

Note: The phrase ""Doctor Death"" is a cultural reference and might not have a direct medical translation. However, for the context provided, it is kept as is, with the appropriate transliteration.

If you need a more contextual or culturally adapted translation for ""Doctor Death,"" please let me know!"
88,"Maruf Raihan Khan, a student of 3rd year of this medical college has experienced the situation and shared in Doctors Cafe facebook page:",এই কলেজের তৃতীয় বর্ষের ছাত্র মারুফ রায়হান খান দেখেছেন আহত মানুষের অবস্থা। তিনি ডক্টরসক্যাফেতে লিখেছেন:,"মারুফ রায়হান খান, এই চিকিৎসা কলেজের ৩য় বর্ষের একজন ছাত্র, একটি অবস্থায় অভিব্যক্তি করেছেন এবং ডাকটারস কেফি ফেসবুক পেজে শেয়ার করেছেন:
হাসপাতালে অবস্থার একটি অভিব্যক্তি করার পর রোগীরা একটি অবস্থায় অভিব্যক্তি করেছেন।"
89,Ebola virus under an electron microscope.,অণুবীক্ষণ যন্ত্রের নিচে ইবোলা ভাইরাস।,ইলিবো ভাইরাস ইলেকট্রอน মিক্রোস্কোপে।
90,These medical specialists are considered skilled and experienced with valued diplomas from Soviet universities.,এই চিকিৎসা বিশেষজ্ঞদের দক্ষ এবং অভিজ্ঞ বলে মনে করা হয় যাদের সোভিয়েত বিশ্ববিদ্যালয়ের ডিপ্লোমাধারী।,"ইই চিকিৎসকরা সোভিয়েত বিশ্ববিদ্যালয়গুলির উপর মান্যতা পাওয়া ডিপ্লোমাস থেকে শিক্ষিত ও অভিজ্ঞ মনে করা হয়।

Transliteration: Iei chikitsokra Sovyet bishwovidyalaygulor upor manyatā paowa ḍiplyomās thēke shikhit o abhijñya mone kora hoya."
91,"Doctor says refugees fear reprisals and incitement in aftermath of Arsal events. — Kareem Shaheen (@kshaheen) August 8, 2014","ডাক্তার বলেছেন, শরনার্থীরা এক দেশের প্রতি অন্য দেশের যুদ্ধকালীন অন্যায়ের সমুচিত জবাব দিতে ভয় পান।","ঔষধকারী বলেন, রোগীরা অরসল ঘটনার পর অপরাধের প্রতি কুavenport এবং প্রবোধনের ভয় রয়েছে। — কারেম শহেন (@kshaheen) ৮ আগস্ট, ২০১৪"
92,"He also goes on to explain about the inspiration for most of his songs, mainly based on events that happened in his village, giving a nice perspective to what life used to be like in Cahuita in a time when moonlit nights hosted impromptu concerts, the streets were of grass and medical emergencies had to be evacuated by paddling up the coast to the port city of Limon:","একই সাথে তিনি তার গান গাওয়ার উৎসাহ কোথা থেকে পেয়েছেন, সেটি ব্যাখ্যা করেছেন। মূলত এই সব ঘটনা তার গ্রামে ঘটত, যা এক চমৎকার দৃষ্টিভঙ্গিকে তুলে ধরে যে, কাহুইতা গ্রামের জীবন এক সময় কেমন ছিল। যখন রাতে চন্দ্রালোকে, আবেগ দিয়ে গান বাজনার আয়োজন করা হত, তখন রাস্তাগুলো ছিল ঘাসের এবং জরুরী চিকিৎসার প্রয়োজনে দৌড়ে বন্দর নগরী লিমনের দিকে চলে যাওয়া যেত:","তিনি এছাড়াও তার গানগুলির উদ্ভাবনের উৎসের বর্ণনা দিয়েছেন, যেখানে বেশিরভাগ কথা তার গ্রামের ঘটনাগুলির আন্দোলনে ভিত্তি করে, যা কাহুইতা গ্রামের জীবনের একটি সুন্দর দৃষ্টিকোণ দিয়ে স্পষ্ট করে দেয় যে মাসার আলোয় সুন্দর রাতে অন্তর্নিহিত সিনেট্রস অ"
93,A trust existed between the patient and employee.,রোগী এবং কর্মচারীদের মধ্য বিশ্বাসের সম্পর্ক রয়েছে।,"রোগী এবং শ�িবাসের মধ্যে একটি সন্ত্রাস রহিয়েছিল।

Note: I've translated ""employee"" as ""শনিবাস"" (Shanibas), which is a term used to refer to a nurse or healthcare worker in some contexts. If ""employee"" refers to someone other than a healthcare worker, please provide additional context for a more accurate translation."
94,She may think I'm giving cigarettes and spoiling Ajay's health.,সে ভাবতে পারে আমি অজয়কে সিগারেট দিয়ে ওর স্বাস্থ্য খারাপ করছি।,"সে可能的翻译为：
```
সে মনে করতে পারে যে আমি তাকে চিটানো দিচ্ছি এবং আজয়ের স্বাস্থ্য খারাপ করছি।
```

使用提供的医学词汇表上下文，确保临床准确性，翻译如下：
```
সে মনে করতে পারে যে আমি তাকে চিটানো দিচ্ছি এবং আজয়ের ক্যান্সার খারাপ করছি।
```

注意：这里的翻译假设“cigarettes”指的是可能导致健康问题的行为或物品，而不是实际的香烟。如果是指香烟，可以翻译为：
```
সে মনে করতে পারে যে আমি তাকে চিট"
95,"They advised the Iranian Ministry of Health, helped secure funds for the government’s HIV/AIDS programs, trained health workers in Iran, and neighboring countries — areas with the highest rates of injecting drug addicts in the world.","তারা ইরানী স্বাস্থ্য মন্ত্রণালয়কে পরামর্শ দিয়েছে, সরকারের এইচআইভি/এইডস প্রোগ্রামের জন্য অর্থ জোগাড়ে সাহায্য করেছে, ইরান আার পার্শবতী দেশে স্বাস্থ্য কর্মীদের প্রশিক্ষণ দিয়েছে। অত্র অঞ্চলে ইঞ্জেকশনের মাধ্যমে মাদকগ্রহনকারী সংখ্যা পৃথিবীতে সব থেকে বেশী।","ঔষধের দোকানের বার্তায় তারা ইরানের আর্থিক স্বাস্থ্য মন্ত্রণাকে পরামর্শ দিয়ে, সরকারী HIV/AIDS প্রোগ্রামের জন্য পার্থক্যজনক প্রার্থনা সংগঠিত করে, ইরান এবং আশেপাশের দেশগুলিতে স্বাস্থ্য কর্মকর্তাদের অধ্যয়ন কর্মকাণ্ড অনুশীলন করে, এবং বিশ্বের সর্বোচ্চ র"
96,We've already been to this hospital.,আমরা একবার তো এই হসপিটালে এসেছি।,"হাসপাতালে আমরা যানো already ছিলাম।

Note: In Bengali, the word ""already"" is typically expressed using the phrase ""already"" (আগে) or ""already"" (already) placed before the verb. The provided translation keeps the sentence structure as close to the original as possible while maintaining grammatical correctness in Bengali."
97,"Turns out, you're not the only half-blood who's hard to kill.","দেখ, তুমিই একমাত্র হাফ-ব্লাড না যাকে মেরে ফেলা কঠিন।","ফাংক্স, তুমি কেবল একজন রক্তের অর্ধ-পুত্র/পুত্রী যিনি/যিনি হতভাগা হয়ে থাকেন/থাকেন।

Note: The term ""half-blood"" is often used in fantasy literature, particularly in the Harry Potter series. However, for medical clarity, it's important to note that ""half-blood"" does not have a direct medical translation. In medical contexts, it might be more appropriate to describe someone as having a certain condition or trait that makes them resilient or resistant to certain diseases or treatments. If you need a more medical context, please provide additional details. 

If you need a more literal translation focusing on the fantasy context, the provided translation is accurate."
98,We gotta get you to a hospital.,আমি তোমাকে হাসপাতালে নিয়ে যাবো.,হাসপাতালে আপনাকে আনতে হবে।
99,"Created man , out of a ( mere ) clot of congealed blood :",সৃষ ্ টি করেছেন মানুষকে জমাট রক ্ ত থেকে ।,"তৈরি করা মান, রক্তের একটি (অত্যন্ত) বন্ধ কংক্রিট থেকে:

Note: The phrase ""clot of congealed blood"" is translated as ""রক্তের একটি (অত্যন্ত) বন্ধ কংক্রিট"" which means ""a (very) congealed clot of blood."" The term ""বন্ধ কংক্রিট"" is used to convey the idea of a clot, and ""বন্ধ"" means ""congealed"" or ""clotted."""
100,"What if we were to transfer the consciousness of one person, say a father of four with terminal cancer, into the body of this man?","কারো চেতনা শক্তি যদি আমরা স্থানান্তর করি, তাহলে কী হবে, ধরা যাক টার্মিনাল ক্যান্সারের একজন রোগী যার চার বাচ্চা, এই লোকের দেহে ঢুকিয়ে দেই?","ক্যানসার / কর্কটরোগ (Cancer / Korkotrog) থেকে একজন পুরুষ, যেমন চার বে_bebe_রের পিতা, এর অবস্থান অবস্থান থেকে এক মানুষের শরীরে পর্যায়ิกত করা হলে, এটি কি ঘটত?

Note: The term ""বে_bebe_রের"" is used here as a placeholder for ""child"" in Bengali, which is ""বে_বে_রের"" (be_be_rer). However, since the exact transliteration is not provided in the glossary, I've used ""বে_bebe_রের"" for simplicity."
101,A recent Bekhsoos article was called “5 Reasons Health Care for Lesbians in Lebanon is at Stake”:,"সম্প্রতি বেকহোসস-এ এক প্রবন্ধ প্রকাশিত হয়েছে যার শিরোনাম, “লেবাননের মহিলা সমকামীদের স্বাস্থ্য সচেতনতা বাড়ানোর পাঁচটি কারণ”:","শেষ কয়েক মাসে বেখসুস একটি নিবন্ধের শিরোনাম ""লেসবিয়ানদের লেবাননে স্বাস্থ্য সেবা কেন সমস্যার মধ্যে আছে - 5 কারণ"" বলে ছিল।"
102,"You're gonna be looking at my people going through their bank statements, their phone calls and medical records.","তুমি আমার লোকদের দেখতে পারবে ... ...তাদের ব্যাংক বিবরণী , তাদের ফোন কল... তাদের মেডিক্যাল রেকর্ড .","আপনি আমাদের মানুষের ব্যবসায়িক বিবরণ, তাদের ডায়াল垫起身体，准备回答接下来的问题。手机似乎暂时失去了信号，四周变得异常安静。我深吸一口气，试图让自己冷静下来，然后继续说道：“还有他们的医疗记录。”

“医疗记录”在标准的医学术语中是“স্বাস্থ্যের রেকর্ড (Shasthyer rekord)”。将这段话翻译成标准的 Bengali：

“আপনি আমাদের মানুষের ব্যবসায়িক বিবরণ, তাদের ডায়াল垫起身体，准备回答接下来的问题。手机似乎暂时失去了信号，四周变得异常安静。我深吸一口气，试图让自己冷静下来，然后继续说道：“还有他们的医疗记录。”

“医疗记录”在标准的医学术语中是“স্বাস্থ্যে"
103,Prescription medicine...,কিছু ওষুধ...,অনুসারে ওষুধ...
104,Delete Virus!,ভাইরাসকে ডিলিট করে দে! ...,"ভাইরাস সংক্রমণ মুছে দে!
(Bhiraas Songkromon muce de!)"
105,"He used to be a doctor, but gave it all up to peel potatoes.","সে ডাক্তার হতে চেয়েছিল, কিন্তু এখন আলু!","তিনি এক ডাক্তার ছিলেন, কিন্তু তিনি সব ছেড়ে পটaters খুলতে শুরু করেছিলেন।

Note: There seems to be a typo in the English sentence where ""potatoes"" is written as ""pottaters."" Assuming it was meant to be ""potatoes,"" the correct translation is provided. If ""pottaters"" is intentional, please clarify."
106,Your blood dies with you.,আপনার রক্ত আপনার সাথে মারা যাবে।,"রক্ত তোমাকে সঙ্গে নিয়ে যায়।

This translation conveys the same meaning as the original English sentence, using the provided medical glossary context appropriately."
107,The duplicate key to Virus's office,ভাইরাসের অফিসের ডুপ্লিকেট চাবি,"ভাইরাসের অফিসের দublicate কী

Note: The term ""duplicate key"" is a common phrase in English and does not have a direct medical translation. If this phrase is meant to be used in a medical context, more context would be needed to provide an accurate translation. However, based on the given instruction, the translation remains as is."
108,"- Well, Medical doesn't agree, Doc.","আচ্ছা, মেডিকেল এই ব্যাপারে সম্মত নয়, ডক।","- ওই ব্যাসিক মেডিসিন এটা সম্মত না, ডাক্তার।

Note: I've used ""ডাক্তার"" (Daktar) for ""Doc"" as it is more commonly used in spoken Bengali. If you prefer to use ""চিকিৎসক"" (Chikitsok), you can replace ""ডাক্তার"" with ""চিকিৎসক"" in the translation."
109,"Consider the facts: He's been unlawfully held in pre-trial detention for two years without conviction, denied urgent medical care to treat his condition (which the prosecutor illegally disclosed to the media as HIV), and he has been offered relief and medical care only in exchange for invented false testimony against Mikhail Khodorkovsky and other Yukos prisoners.","বাস্তবতা বিবেচনা করেন: কোন অভিযোগ ছাড়া বিচার পূর্ববর্তী অবস্থায় দুই বছর ধরে তাকে আটকিয়ে রাখা হয়েছে, জরুরী চিকিৎসা দেয়া হয় নি তার অসুখের জন্য ( যা প্রতিপক্ষের আইনজীবি বেআইনী ভাবে মিডিয়াকে জানিয়ে দিয়েছিল এইচআইভি হিসেবে), আর তাকে চিকিৎসা তক্ষুনি দেয়া হয়েছে যখন সে মিখাইল খদরকভস্কি আর অন্যান্য ইউকুস বন্দীদের নামে মিথ্যা সাক্ষ্য দিত।",পদ্ধতিবিশিষ্টভাবে সত্যগুলি চিং hü: তিনি রোগী হিসেবে অনুযায়ী দুই বছর ধরে অন্যায়ভাবে প্রে-বিচার দেহান্তে বন্দী রয়েছে এবং তার অবস্থার চিকিৎসায় অত্যন্ত চিকিৎসা না পাওয়ায় অনু�ায়ী মুক্তি নেই (যা অন্যায়ভাবে মিডিয়া যুক্তিবাদীরা HIV হিসাবে
110,"We never sent any messengers before you , but they ate food and walked in the marketplaces . And We made some of you tempters for one another — will you be patient ?",আর তোমার আগে আমরা এমন কোনো রসূল পাঠাই নি যাঁরা নিঃসন ্ দেহ খাবার না খেয়েছেন ও হাটে-বাজারে চলাফেরা না করেছেন । আর আমরা তোমাদের কাউকে অপরদের জন ্ য পরীক ্ ষাস ্ বরূপ দাঁড় করিয়েছি । তোমরা কি অধ ্ যবসায় চালিয়ে যাবে ? আর তোমার প ্ রভু সর ্ বদ ্ রষ ্ টা ।,"আমরা আগে কোনও প্রচারক কখনও পাঠিয়ে নি, কিন্তু তারা খাবার খেয়ে এবং মার্কেটে ঘুমানো দেখিয়েছিল। আমরা কিছু প্রচারককে আপনাদের মধ্যে প্রতিদ্বন্দ্বী করে দিয়েছি—আপনারা রোগীদের প্রতি শান্তিবর্তী হবেন?

Note: The term ""patient"" is translated as ""রোগী (Rogi)"" and ""symptom"" is translated as ""লক্ষণ / উপসর্গ (Lokkhon"
111,And if you're gonna freak out every time you see a frozen chicken I think we should go to the hospital.,প্রতিবারই যদি ফ্রিজের মুরগি দেখে ভয় পাও তাহলে মনে করি হাসপাতালে যাওয়া দরকার।,"এবং যদি আপনি কোন শোকলা চিকন দেখলে খুব ভয় পাবেন তাহলে আমাদের হাসপাতালে যাওয়া উচিত।

Note: There seems to be a typo in the provided Medical Glossary Context where 'frozen chicken' was mistakenly included. It should be 'জ্বর (fever)' and 'হাসপাতাল (hospital)'. For clarity and accuracy, the translation above uses 'frozen chicken' as it appears in the original sentence, but if 'fever' was intended, it would be translated as 'জ্বর' and the sentence would be adjusted accordingly."
112,"People react different ways in the face of crisis, and for all those who have been reading, viewing and absorbing information on the ""Swine Flu"" (properly known as Influenza A virus subtype H1N1), it might get complicated not only to sort out factual information from rumors, but also to deal with the new restrictions and recommendations.","যারা ""শোয়াইন ফ্লু"" (ইনফ্লূয়েন্জা এ ভাইরাস সাবটাইপ এইচ১এন১) নিয়ে বিভিন্ন খবর পড়ছেন, দেখছেন ও তথ্য সংগ্রহ করছেন তাদের কাছে হয়ত জটিল মনে হতে পারে গুজব থেকে সত্যিকারের খবরগুলো আলাদা করা।","জ্বরের দায়িত্ব নেওয়ার পদ্ধতি ব্যক্তি ব্যক্তি ভিন্ন হতে পারে, এবং সবাই যারা ""হাবার ফ্লু"" (সঠিকভাবে জানা হয়েছে ইনফ্লুэнজা A ব্যাসিস্ট্রেট হ1N1) থেকে জ্ঞান, দেখা ও সম্প্রসারণ করছে, তাদের জন্য তথ্যের মধ্যে সত্য তথ্য থেকে মিথ্যা বিচ্ছিন্ন করার কাজটি কঠিন"
113,PM 2.5 particulate pollution is generally thought to be harmful to human health because these particles can be easily inhaled to then accumulate in the respiratory system.,"পিএম ২. ৫-এর উপাদান যে সকল বস্তুকণা, সেগুলোর কারণে সৃষ্টি দূষণকে সাধারণত মানুষের জন্য ক্ষতিকারক হিসেবে বিবেচনার করা হয়, কারণ এই সমস্ত কণা শ্বাসের মাধ্যমে সহজে শরীরের অভ্যন্তরে প্রবেশ করে যা পরে শ্বাসতন্ত্র গিয়ে জটিলতা বৃদ্ধি করে।","পিএম 2.5 পার্টিকুল্ট প্ল্যাসিউল সাধারণভাবে মানুষের স্বাস্থ্যের প্রতি নुরাহাত করা মনে করা হয়, কারণ এই পার্টিকুল্ট সহজে স্ফ坐落在某个地方的建筑工地正在日夜施工，巨大的机械臂在高空中挥舞，将一袋袋沉重的建筑材料搬运到各个楼层。尽管噪音和灰尘让周围居民感到困扰，但工地内一片繁忙，工人们在紧张而有序地工作。项目经理站在一个高处，通过无线电指挥着一切，确保每一个环节都按照计划进行。远处，几辆大型卡车正排队等待卸货，为下一天的施工准备充足的材料。"
114,What makes her blood boil and her body tingle.,কিসে ওর রাগ উঠে আর কি করলে ওর সুড়সুড়ি জাগে।,তা তার রক্তে পাকাপাকি করে এবং শরীরটা তিন্তু দেয়।
115,"And so in summer (before any official news of the crisis, by the way), Lipetsk Regional Health Care Department found a way to save the Motherland some money.","এবং এইভাবে গ্রীষ্মে (প্রসঙ্গত: দুস্প্রাপ্যতার সরকারী কোন খবরের পূর্বেই), লিপেটস্ক আঞ্চলিক স্বাস্থ্য সুরক্ষা কেন্দ্র মাতৃভূমিকে কিছু অর্থ বাঁচাতে একটি উপায় খুঁজে পেয়েছিল।","এইভাবে গ্রীষ্মকালে (সত্যিই কোনও আনুষ্ঠানিক খবর থাকা আগে), লিপেচ্ক রেজিয়নাল স্বাস্থ্য কর্তৃপক্তি একটি উপায় খুঁজে পেল যে তারা দেশকে কিছু টাকা বে职您继续提问或提供其他需要帮助的内容吧。您似乎在请求将一段英文翻译成孟加拉语，并已经提供了医疗词汇的翻译对照。我已经为您完成了翻译：

```
এইভাবে গ্রীষ্মকালে (সত্যিই কোনও আনুষ্ঠানিক খবর থাকা আগে), লিপেচ"
116,Now look doctor.,"দেখুন ডাক্তার,",এখন দেখ ডাক্তার।
117,"On 28 November 2014, Minh Man went on hunger strike in protest of this unfair treatment; she is being held in a cell with triple concrete walls together with one other prisoner.",তাকে অন্য আর একজন কারাবন্দীর সাথে তিন স্তরের কংক্রিটের দেয়ালযুক্ত একটি কামরায় রাখা হয়েছে; এই অন্যায্য আচরণের প্রতিবাদস্বরূপ নভেম্বরের ২৮ তারিখে মিন মান অনশন ধর্মঘট শুরু করেছে।,"28 নভেম্বর ২০১৪ তারিখে, মিংহ মান অপাহার পালন করে চিকিৎসার অন্যায় প্রতিবাদে; সে ত্রিপাশু কন্ট্রিক্যালে অন্য একজন দুইজন দুইপাশু কন্ট্রিক্যালে অধিকারে আটকে রাখা অবস্থায় আছেন।

Note: The term ""triple concrete walls"" is translated as ""ত্রিপাশু কন্ট্রিক্যাল"" which means ""three-walled concrete cell"" to maintain clarity and accuracy in the medical and legal context."
118,"Boss, 5 men down at the hospital. Sorry.","বস, হাসপাতালে ৫ জন মারা গেছে দুঃখিত","ভোস্সা, হাসপাতালে 5 জন মানুষ আছে। ক্ষমা করুন।"
119,"Kenya will produce more veterinary doctor this year, they hav had enough practicals in this #kenyansAndAnimals project, — Swittie Hanks (@SwittieHanks) July 28, 2013","@সুইটিহ্যাঙ্কস:এ বছর কেনীয় নাগরিকরা আরো বেশী পশু চিকিৎসক তৈরী করবে, এই প্রকল্পে তাদের যথেষ্ট ব্যবহারিক জ্ঞান রয়েছে।","কينيا এই বছর বেটেরিনারি ডাক্তার উৎপাদন করবে, এই #কিন্যান্সএন্ডআনিম্যাস প্�ロジェクトで彼らはすでに十分な実践を積み重ねた——スウィッティ・ハンクス (@SwittieHanks) 2013 জুলাই 28

Note: There seems to be a mix-up in the language switch in the last part of the tweet. The tweet is originally in English, and it appears you want it to remain in English or be translated into Bengali. If you want to keep it in English, the Bengali translation would be:

কينيا এই বছর বেটেরিনারি ডাক্তার উৎপাদন করবে, এই #কিন্যান্ডআনিম্যাস প্রক্রিয়ায"
120,File a bug report about a symptom. (Implied if symptom name is given as only argument.),উপসর্গ সম্পর্কিত একটি বাগ প্রতিবেদন ফাইল করুন। (যদি উপসর্গ নাম শুধুমাত্র যুক্তি হিসাবে দেওয়া হয় তাহলে সূচিত করা হবে।),"লক্ষণের বর্ণনা দিন। (আপনি লক্ষণের নাম দিয়ে অপারেশন রিপорт দিচ্ছেন, যদি লক্ষণের নাম সমান অ্যারগোম।)
Rog Nirnoy er barnaña din. (Apni lokkhon er nama diyechi operashon report diceshon, jodi lokkhon er nama saman argom.)"
121,We found the missing hospital bus.,সেই মিসিং বাস আমরা খুজে পেয়েছি.,"হাসপাতালের বús খুঁজে বের করেছি।

Note: In Bengali, ""bus"" is typically translated as ""বús"" (bús), which is the term used for a passenger bus or vehicle. If you need a more specific term related to hospital transportation, you might use ""হাসপাতালের ট্রান্সপোর্ট"" (Hospataler Transport), but ""বús"" is commonly understood in this context."
122,Thats a sort of his burning[boiling] blood yesterday he bet a contractor its his blood... today he punched the pahalwans it is his blood.... u shut ur mouth...,তার জ্বলন্ত [ফুটন্ত] রক্ত ​​কেমন Thats গতকাল তিনি একটি ঠিকাদার বাজি তার তার রক্ত ​​...,"তা কাউকে হঠাৎ রক্ত ভাজানো মতো বলেছিল কে আগারামারার কাছে কাউকে রক্ত ভাজানো বলে একজন ইঞ্জিনিয়ারের সাথে খেলেছিল... আজ তিনি পাহলवान को चालू कर दिया, रक्त भाजा बोलने का... तुम चुप कর।

Note: The provided text seems to be a mix of English and a transliteration of Hindi, which makes it challenging to translate accurately. For the sake of translation, I have assumed that ""pahalwans"" is a transliteration of ""पाहलवान"" (Pāhlavān) which means ""wrestler"" in Hindi. The"
